,price,resid_z,p_value,flag_conformal,flag_isoforest,flag_lof,votes,severity,flag
2023-03-02,210.05999755859375,0.7017334482901579,0.3991031390134529,0,0,0,0,0,0
2023-03-03,215.11000061035156,0.27402296095135736,0.7272727272727273,0,0,0,0,0,0
2023-03-06,211.9199981689453,-0.7965815416037393,0.34101087651951373,0,0,0,0,0,0
2023-03-07,207.9199981689453,-0.04982126370091468,0.9520460358056266,0,0,0,0,0,0
2023-03-08,207.1999969482422,-0.2963811267678773,0.7022364217252396,0,0,0,0,0,0
2023-03-09,201.24000549316406,-0.390328789720477,0.632183908045977,0,0,0,0,0,0
2023-03-10,203.07000732421875,1.1081082373546707,0.209955328653478,0,0,0,0,0,0
2023-03-13,203.3699951171875,0.1626360434554903,0.8360969387755102,0,0,0,0,0,0
2023-03-14,207.27999877929688,-0.06328538004983365,0.9369024856596558,0,0,0,0,0,0
2023-03-15,198.2100067138672,-1.595598489089099,0.10828025477707007,0,0,0,0,0,0
2023-03-16,203.19000244140625,-0.050937646585179124,0.9516231699554424,0,0,0,0,0,0
2023-03-17,201.0500030517578,0.3127611059301294,0.6844783715012722,0,0,0,0,0,0
2023-03-20,204.77000427246094,0.08469820494228278,0.916083916083916,0,0,0,0,0,0
2023-03-21,204.6999969482422,-0.7263275950561571,0.3792884371029225,0,0,0,0,0,0
2023-03-22,196.16000366210938,-0.9878292681025629,0.2577777777777778,0,0,0,0,0,0
2023-03-23,197.89999389648438,0.30573995958596717,0.6916243654822335,0,0,0,0,0,0
2023-03-24,197.52999877929688,-0.49363875950462954,0.5510462904248573,0,0,0,0,0,0
2023-03-27,200.57000732421875,0.4819751196731319,0.5602027883396705,0,0,0,0,0,0
2023-03-28,204.9600067138672,1.123376942817879,0.2032932235592147,0,0,0,0,0,0
2023-03-29,207.97000122070312,-0.17473256991226263,0.8215189873417722,0,0,0,0,0,0
2023-03-30,211.0399932861328,0.41471328108511735,0.6122707147375079,0,0,0,0,0,0
2023-03-31,212.42999267578125,-0.4174023040299564,0.6093552465233881,0,0,0,0,0,0
2023-04-03,215.38999938964844,0.04617054045351496,0.9551484523057486,0,0,0,0,0,0
2023-04-04,213.89999389648438,-0.05863898984511415,0.9431818181818182,0,0,0,0,0,0
2023-04-05,210.0,-0.6254863266123445,0.4517350157728707,0,0,0,0,0,0
2023-04-06,211.3699951171875,0.12600453795687422,0.873266078184111,0,0,0,0,0,0
2023-04-10,210.77999877929688,-0.4676394630428743,0.5683679899180845,0,0,0,0,0,0
2023-04-11,212.32000732421875,0.3908685958963069,0.6303526448362721,0,0,0,0,0,0
2023-04-12,212.33999633789062,-0.04678124441536317,0.9546884833228445,0,0,0,0,0,0
2023-04-13,213.58999633789062,-0.39337552534676357,0.6283018867924528,0,0,0,0,0,0
2023-04-14,201.7100067138672,-2.557403531899518,0.04085480829666876,0,0,0,0,0,0
2023-04-17,205.02999877929688,0.35709089163570024,0.6557788944723618,0,0,0,0,0,0
2023-04-18,208.3699951171875,0.40462420896184764,0.6208411801632141,0,0,0,0,0,0
2023-04-19,208.7100067138672,0.16220623296518477,0.8350062735257214,0,0,0,0,0,0
2023-04-20,207.22999572753906,0.0039587353804050405,0.9981191222570532,0,0,0,0,0,0
2023-04-21,205.14999389648438,-0.40955960669512137,0.6146616541353384,0,0,0,0,0,0
2023-04-24,205.77000427246094,0.03147373388249965,0.9674389480275517,0,0,0,0,0,0
2023-04-25,202.19000244140625,0.13310381945013633,0.8654568210262829,0,0,0,0,0,0
2023-04-26,203.02999877929688,0.9821521661610215,0.2570356472795497,0,0,0,0,0,0
2023-04-27,206.0399932861328,-0.5789112886775488,0.4775,0,0,0,0,0,0
2023-04-28,206.77999877929688,-0.38217581645880383,0.6333541536539663,0,0,0,0,0,0
2023-05-01,203.8699951171875,-0.7628095888098432,0.3533083645443196,0,0,0,0,0,0
